Location,Rise Time,Culmination,Set Time,Duration (min)
Delhi,2025-07-25 12:39:21 IST,2025-07-25 12:44:05 IST,2025-07-25 12:48:50 IST,9.483333333333333
Delhi,2025-07-25 14:15:23 IST,2025-07-25 14:20:36 IST,2025-07-25 14:25:50 IST,10.45
Delhi,2025-07-25 15:55:23 IST,2025-07-25 15:58:13 IST,2025-07-25 16:01:04 IST,5.683333333333334
Delhi,2025-07-25 20:49:29 IST,2025-07-25 20:54:07 IST,2025-07-25 20:58:45 IST,9.266666666666667
Delhi,2025-07-25 22:25:41 IST,2025-07-25 22:31:02 IST,2025-07-25 22:36:20 IST,10.65
Raipur,2025-07-25 11:06:41 IST,2025-07-25 11:06:57 IST,2025-07-25 11:07:13 IST,0.5333333333333333
Raipur,2025-07-25 12:37:46 IST,2025-07-25 12:43:09 IST,2025-07-25 12:48:32 IST,10.766666666666667
Raipur,2025-07-25 14:16:08 IST,2025-07-25 14:20:05 IST,2025-07-25 14:24:04 IST,7.933333333333334
Raipur,2025-07-25 20:52:21 IST,2025-07-25 20:56:19 IST,2025-07-25 21:00:16 IST,7.916666666666667
Raipur,2025-07-25 22:27:53 IST,2025-07-25 22:33:16 IST,2025-07-25 22:38:38 IST,10.75
Ahmedabad,2025-07-25 00:54:04 IST,2025-07-25 00:56:05 IST,2025-07-25 00:58:06 IST,4.033333333333333
Ahmedabad,2025-07-25 12:37:28 IST,2025-07-25 12:42:12 IST,2025-07-25 12:46:56 IST,9.466666666666667
Ahmedabad,2025-07-25 14:13:38 IST,2025-07-25 14:18:44 IST,2025-07-25 14:23:51 IST,10.216666666666667
Ahmedabad,2025-07-25 20:51:29 IST,2025-07-25 20:54:07 IST,2025-07-25 20:56:45 IST,5.266666666666667
Ahmedabad,2025-07-25 22:26:06 IST,2025-07-25 22:31:27 IST,2025-07-25 22:36:47 IST,10.683333333333334
Bhopal,2025-07-25 12:37:49 IST,2025-07-25 12:42:57 IST,2025-07-25 12:48:05 IST,10.266666666666667
Bhopal,2025-07-25 14:14:54 IST,2025-07-25 14:19:39 IST,2025-07-25 14:24:26 IST,9.533333333333333
Bhopal,2025-07-25 20:51:24 IST,2025-07-25 20:55:06 IST,2025-07-25 20:58:48 IST,7.4
Bhopal,2025-07-25 22:26:46 IST,2025-07-25 22:32:11 IST,2025-07-25 22:37:35 IST,10.816666666666666
Nainital,2025-07-25 12:39:39 IST,2025-07-25 12:44:34 IST,2025-07-25 12:49:29 IST,9.833333333333334
Nainital,2025-07-25 14:16:00 IST,2025-07-25 14:21:09 IST,2025-07-25 14:26:19 IST,10.316666666666666
Nainital,2025-07-25 15:56:07 IST,2025-07-25 15:58:51 IST,2025-07-25 16:01:35 IST,5.466666666666667
Nainital,2025-07-25 19:14:40 IST,2025-07-25 19:16:32 IST,2025-07-25 19:18:24 IST,3.7333333333333334
Nainital,2025-07-25 20:49:33 IST,2025-07-25 20:54:28 IST,2025-07-25 20:59:21 IST,9.8
Nainital,2025-07-25 22:26:01 IST,2025-07-25 22:31:14 IST,2025-07-25 22:36:25 IST,10.4
